sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1006.0596618953604	541.0	14895083	16306215	16208
0.2	2011.280478775913	993.0	27352919	32598834	16208
0.3	3016.9352788746296	1378.0	37884308	48898487	16208
0.4	4023.3682132280355	1699.0	46856099	65210752	16208
0.5	5028.441572063179	1979.0	54558504	81500981	16208
0.6	6034.25789733465	2219.5	61225719	97803252	16208
0.7	7040.447556762093	2427.0	67034250	114111574	16208
0.8	8045.928060217177	2614.5	72118657	130408402	16208
0.9	9051.869817374136	2774.5	76612579	146712706	16208
0.95	9554.592793682132	2849.0	78659797	154860840	16208
0.97	9755.86728775913	2879.0	79449104	158123097	16208
1.0	10057.50283810464	2917.5	80594595	163012006	16208
