sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1428.7784167554137	709.0	17828635	20124344	14085
0.2	2857.5653532126375	1272.0	31904812	40248808	14085
0.3	4287.036563720269	1722.0	43211501	60382910	14085
0.4	5715.87383741569	2090.0	52409661	80508083	14085
0.5	7144.181114660987	2390.0	60009499	100625791	14085
0.6	8573.611501597445	2639.0	66367197	120759318	14085
0.7	10002.10969116081	2858.0	71740685	140879715	14085
0.8	11430.948668796593	3036.0	76327316	161004912	14085
0.9	12860.340646077388	3191.0	80287119	181137898	14085
0.95	13574.389989350373	3265.0	82066780	191195283	14085
0.97	13859.930848420305	3289.0	82742966	195217126	14085
1.0	14288.78800141995	3331.0	83728870	201257579	14085
